age,ast_pct,blk_pct,bpm,bpm-dum,dbpm,drb_pct,dws,fg3a_per_fga_pct,fta_per_fga_pct,g,href,mp,obpm,orb_pct,ows,per,player,player_id,pos,season,stl_pct,team_id,tov_pct,trb_pct,ts_pct,usg_pct,vorp,ws,ws-dum,ws_per_48,birthplace
22,,,,,,,1.6,,.330,60,/players/c/corlera01.html,,,,-0.3,,Ray Corley,corlera01,G,1950.0,,SYR,,,.365,,,1.2,,,"Staten Island, New York"
25,,,,,,,-0.5,,.485,54,/players/c/cottoja01.html,,,,-1.0,,Jack Cotton,cottoja01,F-C,1950.0,,DNN,,,.343,,,-1.5,,,"Miles City, Montana"
25,,,,,,,-0.8,,.377,53,/players/c/crockdi01.html,,,,-0.9,,Dillard Crocker,crockdi01,PF,1950.0,,DNN,,,.369,,,-1.7,,,"Coffee County, Tennessee"
26,,,,,,,2.7,,.176,64,/players/c/crossch01.html,,,,-0.6,,Chink Crossin,crossch01,G,1950.0,,PHW,,,.363,,,2.1,,,"Luzerne, Pennsylvania"
27,,,,,,,1.1,,1.026,66,/players/c/currafr01.html,,,,5.5,,Fran Curran,currafr01,G,1950.0,,ROC,,,.579,,,6.6,,,"Sterling, Illinois"
27,,,,,,,-0.3,,.329,26,/players/d/dardeji01.html,,,,0.1,,Jimmy Darden,dardeji01,G,1950.0,,DNN,,,.379,,,-0.2,,,"Cheyenne, Wyoming"
30,,,,,,,2.9,,.391,64,/players/d/daviebo01.html,,,,4.7,,Bob Davies*,daviebo01,PG,1950.0,,ROC,,,.430,,,7.7,,,"Harrisburg, Pennsylvania"
26,,,,,,,0.2,,.400,22,/players/d/dilloho01.html,,,,-0.5,,Hook Dillon,dilloho01,F,1950.0,,WSC,,,.278,,,-0.4,,,"Savannah, Georgia"
25,,,,,,,0.0,,.185,9,/players/d/doddea01.html,,,,-0.3,,Earl Dodd,doddea01,F,1950.0,,DNN,,,.257,,,-0.3,,,"Wood River, Illinois"
22,,,,,,,1.6,,.467,64,/players/d/dolhojo01.html,,,,1.4,,Joe Dolhon,dolhojo01,G,1950.0,,BLB,,,.401,,,3.0,,,"Yonkers, New York"
30,,,,,,,0.9,,.329,47,/players/d/dollbo01.html,,,,0.7,,Bob Doll,dollbo01,F-C,1950.0,,BOS,,,.397,,,1.6,,,"Steamboat Springs, Colorado"
23,,,,,,,0.7,,.385,45,/players/d/donovha01.html,,,,0.3,,Harry Donovan,donovha01,G,1950.0,,NYK,,,.393,,,1.0,,,"Union City, New Jersey"
27,,,,,,,1.4,,.374,67,/players/d/duncaan01.html,,,,2.0,,Andy Duncan,duncaan01,F-C,1950.0,,ROC,,,.461,,,3.4,,,
27,,,,,,,2.1,,.287,64,/players/e/eddledi01.html,,,,1.6,,Dike Eddleman,eddledi01,SF,1950.0,,TRI,,,.405,,,3.7,,,"Centralia, Illinois"
32,,,,,,,1.0,,.701,46,/players/e/engluge01.html,,,,3.2,,Gene Englund,engluge01,F-C,1950.0,,TOT,,,.502,,,4.2,,,"Kenosha, Wisconsin"
24,,,,,,,0.5,,.220,47,/players/e/evansbo01.html,,,,-0.8,,Bob Evans,evansbo01,G,1950.0,,INO,,,.324,,,-0.3,,,"Indianapolis, Indiana"
27,,,,,,,1.1,,.376,54,/players/e/ezersjo01.html,,,,-0.7,,Johnny Ezersky,ezersjo01,F-G,1950.0,,TOT,,,.364,,,0.5,,,"New York, New York"
30,,,,,,,1.6,,.348,60,/players/f/feeribo01.html,,,,2.1,,Bob Feerick,feeribo01,F-G,1950.0,,WSC,,,.419,,,3.6,,,"San Francisco, California"
21,,,,,,,0.1,,.316,12,/players/f/feigege01.html,,,,-0.5,,George Feigenbaum,feigege01,G,1950.0,,BLB,,,.277,,,-0.4,,,"Binghamton, New York"
24,,,,,,,2.3,,.275,63,/players/f/ferriar01.html,,,,0.2,,Arnie Ferrin,ferriar01,F-G,1950.0,,MNL,,,.383,,,2.6,,,"Salt Lake City, Utah"
